City,latitude,longitude,country,iso2,population
Riyadh,24.6333,46.7167,Saudi Arabia,SA,7237000
Jeddah,21.5433,39.1728,Saudi Arabia,SA,3976000
Makkah,21.4225,39.8233,Saudi Arabia,SA,1675368
Madinah,24.47,39.61,Saudi Arabia,SA,1180770
Dammam,26.4333,50.1,Saudi Arabia,SA,903312
Al Hufuf,25.3833,49.5833,Saudi Arabia,SA,660788
Hafr Al Batin,28.4342,45.9636,Saudi Arabia,SA,600000
Al Hillah,23.4895,46.7564,Saudi Arabia,SA,594605
Taif ,21.2751,40.4062,Saudi Arabia,SA,579970
Tabuk,28.3972,36.5789,Saudi Arabia,SA,547957
Al Qatif,26.556,49.996,Saudi Arabia,SA,524182
Buraidah,26.3333,43.9667,Saudi Arabia,SA,467410
Al Jubayl,27,49.6544,Saudi Arabia,SA,392948
Hail,27.5167,41.6833,Saudi Arabia,SA,385257
Al Kharj,24.1483,47.305,Saudi Arabia,SA,376325
Al-Qunfudhah,19.1264,41.0789,Saudi Arabia,SA,300516
Al Mubarraz,25.4416,49.6642,Saudi Arabia,SA,298562
Yanbu,24.0883,38.0582,Saudi Arabia,SA,250000
Sakaka,29.9697,40.2,Saudi Arabia,SA,242813
Abha,18.2169,42.5053,Saudi Arabia,SA,236157
Sabya,17.1489,42.6258,Saudi Arabia,SA,228375
Al Khubar,26.2833,50.2,Saudi Arabia,SA,219679
Qalat Bishah,20,42.6,Saudi Arabia,SA,205346
Unayzah,26.0906,43.9875,Saudi Arabia,SA,163729
Ras Tanura,26.65,50.1667,Saudi Arabia,SA,153933
Al Hawiyah,21.4411,40.4975,Saudi Arabia,SA,148151
Qurayyat,31.3167,37.3667,Saudi Arabia,SA,147550
Ar Rass,25.8667,43.5,Saudi Arabia,SA,133000
Jazan,16.8892,42.5611,Saudi Arabia,SA,127743
Az Zulfi,26.2833,44.8,Saudi Arabia,SA,125000
Sayhat,26.475,50.0417,Saudi Arabia,SA,115000
Harad,24.1456,49.0653,Saudi Arabia,SA,111214
Al Ahad al Masarihah,16.7097,42.955,Saudi Arabia,SA,110710
Khamis Mushait ,18.3,42.7333,Saudi Arabia,SA,99213
Turayf,31.6775,38.6531,Saudi Arabia,SA,91713
Sharurah,17.4833,47.1167,Saudi Arabia,SA,85977
Rafha,29.6386,43.5014,Saudi Arabia,SA,80544
Najran,17.4917,44.1322,Saudi Arabia,SA,72038
Al Lith,20.15,40.2667,Saudi Arabia,SA,72000
Ad Darb,17.7167,42.25,Saudi Arabia,SA,69134
Ras al Khafji,28.4167,48.5,Saudi Arabia,SA,65000
Badr Hunain,23.78,38.7906,Saudi Arabia,SA,63468
Khulais,22.1539,39.3183,Saudi Arabia,SA,63445
An Nimas,19.12,42.13,Saudi Arabia,SA,53908
Al Majaridah,19.1167,41.9167,Saudi Arabia,SA,53629
Al Wajh,26.2833,36.4167,Saudi Arabia,SA,50000
Al Midhnab,25.8601,44.2223,Saudi Arabia,SA,44043
Abqaiq,25.935,49.6661,Saudi Arabia,SA,44000
Al Aqiq,20.2685,41.6493,Saudi Arabia,SA,35629
Dulai Rashid,25.5067,42.8614,Saudi Arabia,SA,35000
Shaqra,25.2483,45.2528,Saudi Arabia,SA,35000
Al Mindak,20.1833,41.2333,Saudi Arabia,SA,33319
Dhahran,26.2667,50.15,Saudi Arabia,SA,32067
Al Aydabi,17.237,42.939,Saudi Arabia,SA,31735
Qara,29.8833,40.2167,Saudi Arabia,SA,31480
Ash Shinan,27.1782,42.443,Saudi Arabia,SA,30441
Arar,30.9833,41.0167,Saudi Arabia,SA,27449
Haql,29.2833,34.9333,Saudi Arabia,SA,25649
Duba,27.3493,35.6962,Saudi Arabia,SA,25601
Al Baha,20.0125,41.4653,Saudi Arabia,SA,21983
Al-Ahsa,25.285579,49.486481,Saudi Arabia,SA,1300000
Wadi Al-Dawasir,20.559454,44.865658,Saudi Arabia,SA,185000
Majmaah,25.896651,45.355737,Saudi Arabia,SA,60000
Dawadmi,24.507143,44.408798,Saudi Arabia,SA,60000
Al-Jouf,29.953894,40.197044,Saudi Arabia,SA,600000
Bisha,20.00054,42.6052,Saudi Arabia,SA,205000
