City,Date,av_sun_hours,av_temp,humidity,max_temp,precipitation_mm
Riyadh,2022-01,9.3,14,0.41,20.3,11
Riyadh,2022-02,10,17.1,0.3,23.6,6
Riyadh,2022-03,10.7,21.5,0.24,28,12
Riyadh,2022-04,11.4,26.9,0.2,33.4,14
Riyadh,2022-05,12,32.5,0.14,38.9,2
Riyadh,2022-06,12.3,34.8,0.1,41.6,0
Riyadh,2022-07,12.2,36.1,0.11,42.8,0
Riyadh,2022-08,11.7,36.1,0.12,42.7,0
Riyadh,2022-09,11.1,32.7,0.14,39.5,0
Riyadh,2022-10,10.4,27.7,0.18,34.1,1
Riyadh,2022-11,9.4,20.3,0.35,26.2,11
Riyadh,2022-12,9.2,15.1,0.44,21.3,9
Tabuk,2022-01,9.1,10.5,0.44,17.7,5
Tabuk,2022-02,9.8,13.1,0.34,20.6,2
Tabuk,2022-03,10.7,17.3,0.26,24.9,2
Tabuk,2022-04,11.5,21.8,0.2,29.5,1
Tabuk,2022-05,12.2,26.2,0.18,33.8,1
Tabuk,2022-06,12.5,29.3,0.18,36.9,0
Tabuk,2022-07,12.4,30.9,0.2,38.2,0
Tabuk,2022-08,11.8,31.2,0.22,38.7,0
Tabuk,2022-09,11.1,28.4,0.24,36.1,0
Tabuk,2022-10,10.3,23.4,0.28,31.1,1
Tabuk,2022-11,9.4,16.7,0.38,23.8,2
Tabuk,2022-12,9,11.7,0.43,18.9,1
Jeddah,2022-01,8.7,23,0.59,26.8,25
Jeddah,2022-02,9.8,23.9,0.6,28.2,2
Jeddah,2022-03,10.6,25.2,0.59,29.8,4
Jeddah,2022-04,11.3,27.6,0.57,32.2,4
Jeddah,2022-05,11.8,30,0.55,34.8,0
Jeddah,2022-06,12.1,30.9,0.55,35.9,0
Jeddah,2022-07,11.9,32,0.56,36.4,0
Jeddah,2022-08,11.5,32.1,0.62,36.2,0
Jeddah,2022-09,10.9,31.1,0.66,35.4,0
Jeddah,2022-10,10.4,29.6,0.65,34,3
Jeddah,2022-11,9.7,27.1,0.63,31,26
Jeddah,2022-12,9.1,24.7,0.61,28.5,15
Makkah,2022-01,8.3,21.3,0.54,27,43
Makkah,2022-02,9.5,23.3,0.47,29.8,4
Makkah,2022-03,10.4,25.6,0.39,32.5,10
Makkah,2022-04,11.3,28.9,0.34,35.7,12
Makkah,2022-05,11.8,32.2,0.27,39.2,6
Makkah,2022-06,12.1,33.6,0.24,40.8,0
Makkah,2022-07,12,33.6,0.27,40,0
Makkah,2022-08,11.5,33.3,0.36,39.5,1
Makkah,2022-09,11,32.5,0.39,39,3
Makkah,2022-10,10.5,29.6,0.44,36.2,6
Makkah,2022-11,9.7,25.8,0.51,31.6,20
Makkah,2022-12,8.8,23,0.54,28.6,25
Taif,2022-01,7.9,15.1,0.58,20.4,37
Taif,2022-02,9.2,17.1,0.48,23,10
Taif,2022-03,10.1,19.3,0.4,25.3,22
